"Metric","Value","Page"
"Central description","Wikimedia disambiguation page","Mark_Helfrich"
"Page views in the past 30 days","26","Mark_Helfrich"
"Display title","Susanne Mittag","Susanne_Mittag"
"Default sort key","Mittag, Susanne","Susanne_Mittag"
"Page length (in bytes)","4,227","Susanne_Mittag"
"Namespace ID","0","Susanne_Mittag"
"Page ID","63430453","Susanne_Mittag"
"Page content language","en - English","Susanne_Mittag"
"Page content model","wikitext","Susanne_Mittag"
"Indexing by robots","Allowed","Susanne_Mittag"
"Number of page watchers","Fewer than 30 watchers","Susanne_Mittag"
"Number of redirects to this page","0","Susanne_Mittag"
"Counted as a content page","Yes","Susanne_Mittag"
"Wikidata item ID","Q15813113","Susanne_Mittag"
"Local description","German politician","Susanne_Mittag"
"Central description","German politician","Susanne_Mittag"
"Page image","","Susanne_Mittag"
"Page views in the past 30 days","52","Susanne_Mittag"
"Display title","Tino Sorge","Tino_Sorge"
"Default sort key","Sorge, Tino","Tino_Sorge"
"Page length (in bytes)","4,654","Tino_Sorge"
"Namespace ID","0","Tino_Sorge"
"Page ID","63446168","Tino_Sorge"
"Page content language","en - English","Tino_Sorge"
"Page content model","wikitext","Tino_Sorge"
"Indexing by robots","Allowed","Tino_Sorge"
"Number of page watchers","Fewer than 30 watchers","Tino_Sorge"
"Number of redirects to this page","0","Tino_Sorge"
"Counted as a content page","Yes","Tino_Sorge"
"Wikidata item ID","Q14946180","Tino_Sorge"
"Local description","German politician","Tino_Sorge"
"Central description","German politician","Tino_Sorge"
"Page image","","Tino_Sorge"
"Page views in the past 30 days","55","Tino_Sorge"
"Display title","Bernhard Daldrup","Bernhard_Daldrup"
"Default sort key","Daldrup, Bernhard","Bernhard_Daldrup"
"Page length (in bytes)","5,395","Bernhard_Daldrup"
"Namespace ID","0","Bernhard_Daldrup"
"Page ID","63417765","Bernhard_Daldrup"
"Page content language","en - English","Bernhard_Daldrup"
"Page content model","wikitext","Bernhard_Daldrup"
"Indexing by robots","Allowed","Bernhard_Daldrup"
"Number of page watchers","Fewer than 30 watchers","Bernhard_Daldrup"
"Number of redirects to this page","0","Bernhard_Daldrup"
"Counted as a content page","Yes","Bernhard_Daldrup"
"Wikidata item ID","Q15273689","Bernhard_Daldrup"
"Local description","German politician (born 1956)","Bernhard_Daldrup"
"Central description","federal German politician (1956–)","Bernhard_Daldrup"
"Page image","","Bernhard_Daldrup"
"Page views in the past 30 days","38","Bernhard_Daldrup"
"Display title","Katharina Dröge","Katharina_Dröge"
"Default sort key","Droge, Katharina","Katharina_Dröge"
"Page length (in bytes)","6,144","Katharina_Dröge"
"Namespace ID","0","Katharina_Dröge"
"Page ID","61726502","Katharina_Dröge"
"Page content language","en - English","Katharina_Dröge"
"Page content model","wikitext","Katharina_Dröge"
"Indexing by robots","Allowed","Katharina_Dröge"
"Number of page watchers","Fewer than 30 watchers","Katharina_Dröge"
"Number of redirects to this page","1","Katharina_Dröge"
"Counted as a content page","Yes","Katharina_Dröge"
"Wikidata item ID","Q15795521","Katharina_Dröge"
"Local description","German politician (born 1984)","Katharina_Dröge"
"Central description","German politician","Katharina_Dröge"
"Page image","","Katharina_Dröge"
"Page views in the past 30 days","1,098","Katharina_Dröge"
"Display title","Jana Schimke","Jana_Schimke"
"Default sort key","Schimke, Jana","Jana_Schimke"
"Page length (in bytes)","7,367","Jana_Schimke"
"Namespace ID","0","Jana_Schimke"
"Page ID","44435955","Jana_Schimke"
"Page content language","en - English","Jana_Schimke"
"Page content model","wikitext","Jana_Schimke"
"Indexing by robots","Allowed","Jana_Schimke"
"Number of page watchers","Fewer than 30 watchers","Jana_Schimke"
"Number of redirects to this page","0","Jana_Schimke"
"Counted as a content page","Yes","Jana_Schimke"
"Wikidata item ID","Q15434319","Jana_Schimke"
"Local description","German politician","Jana_Schimke"
"Central description","German politician","Jana_Schimke"
"Page image","","Jana_Schimke"
"Page views in the past 30 days","61","Jana_Schimke"
"Display title","Stefan Zierke","Stefan_Zierke"
"Default sort key","Zierke, Stefan","Stefan_Zierke"
"Page length (in bytes)","3,831","Stefan_Zierke"
"Namespace ID","0","Stefan_Zierke"
"Page ID","63436279","Stefan_Zierke"
"Page content language","en - English","Stefan_Zierke"
"Page content model","wikitext","Stefan_Zierke"
"Indexing by robots","Allowed","Stefan_Zierke"
"Number of page watchers","Fewer than 30 watchers","Stefan_Zierke"
"Number of redirects to this page","0","Stefan_Zierke"
"Counted as a content page","Yes","Stefan_Zierke"
"Wikidata item ID","Q14947102","Stefan_Zierke"
"Local description","German politician","Stefan_Zierke"
"Central description","German politician","Stefan_Zierke"
"Page image","","Stefan_Zierke"
"Page views in the past 30 days","29","Stefan_Zierke"
"Display title","Saskia Esken","Saskia_Esken"
"Default sort key","Esken, Saskia","Saskia_Esken"
"Page length (in bytes)","13,692","Saskia_Esken"
"Namespace ID","0","Saskia_Esken"
"Page ID","61793848","Saskia_Esken"
"Page content language","en - English","Saskia_Esken"
"Page content model","wikitext","Saskia_Esken"
"Indexing by robots","Allowed","Saskia_Esken"
"Number of page watchers","Fewer than 30 watchers","Saskia_Esken"
"Number of redirects to this page","3","Saskia_Esken"
"Counted as a content page","Yes","Saskia_Esken"
"Wikidata item ID","Q15813082","Saskia_Esken"
"Local description","Leader of the Social Democratic Party of Germany","Saskia_Esken"
"Central description","German politician","Saskia_Esken"
"Page image","","Saskia_Esken"
"Page views in the past 30 days","3,760","Saskia_Esken"
"Display title","Matthias Gastel","Matthias_Gastel"
"Default sort key","Gastel, Matthias","Matthias_Gastel"
"Page length (in bytes)","8,485","Matthias_Gastel"
"Namespace ID","0","Matthias_Gastel"
"Page ID","63284317","Matthias_Gastel"
"Page content language","en - English","Matthias_Gastel"
"Page content model","wikitext","Matthias_Gastel"
"Indexing by robots","Allowed","Matthias_Gastel"
"Number of page watchers","Fewer than 30 watchers","Matthias_Gastel"
"Number of redirects to this page","0","Matthias_Gastel"
"Counted as a content page","Yes","Matthias_Gastel"
"Wikidata item ID","Q15795921","Matthias_Gastel"
"Local description","German politician (born 1970)","Matthias_Gastel"
"Central description","German politician","Matthias_Gastel"
"Page image","","Matthias_Gastel"
"Page views in the past 30 days","32","Matthias_Gastel"
"Display title","Daniela De Ridder","Daniela_De_Ridder"
"Default sort key","De Ridder, Daniela","Daniela_De_Ridder"
"Page length (in bytes)","5,171","Daniela_De_Ridder"
"Namespace ID","0","Daniela_De_Ridder"
"Page ID","63433442","Daniela_De_Ridder"
"Page content language","en - English","Daniela_De_Ridder"
"Page content model","wikitext","Daniela_De_Ridder"
"Indexing by robots","Allowed","Daniela_De_Ridder"
"Number of page watchers","Fewer than 30 watchers","Daniela_De_Ridder"
"Number of redirects to this page","0","Daniela_De_Ridder"
"Counted as a content page","Yes","Daniela_De_Ridder"
"Wikidata item ID","Q15275916","Daniela_De_Ridder"
"Local description","German politician","Daniela_De_Ridder"
"Central description","German politician","Daniela_De_Ridder"
"Page image","","Daniela_De_Ridder"
"Page views in the past 30 days","56","Daniela_De_Ridder"
"Display title","Dennis Rohde","Dennis_Rohde"
"Default sort key","Rohde, Dennis","Dennis_Rohde"
"Page length (in bytes)","5,080","Dennis_Rohde"
"Namespace ID","0","Dennis_Rohde"
"Page ID","63433704","Dennis_Rohde"
"Page content language","en - English","Dennis_Rohde"
"Page content model","wikitext","Dennis_Rohde"
"Indexing by robots","Allowed","Dennis_Rohde"
"Number of page watchers","Fewer than 30 watchers","Dennis_Rohde"
"Number of redirects to this page","1","Dennis_Rohde"
"Counted as a content page","Yes","Dennis_Rohde"
"Wikidata item ID","Q15613500","Dennis_Rohde"
"Local description","German politician","Dennis_Rohde"
"Central description","German politician","Dennis_Rohde"
"Page image","","Dennis_Rohde"
"Page views in the past 30 days","35","Dennis_Rohde"
"Display title","Johannes Fechner","Johannes_Fechner"
"Default sort key","Fechner, Johannes","Johannes_Fechner"
"Page length (in bytes)","5,630","Johannes_Fechner"
"Namespace ID","0","Johannes_Fechner"
"Page ID","63418365","Johannes_Fechner"
"Page content language","en - English","Johannes_Fechner"
"Page content model","wikitext","Johannes_Fechner"
"Indexing by robots","Allowed","Johannes_Fechner"
"Number of page watchers","Fewer than 30 watchers","Johannes_Fechner"
"Number of redirects to this page","0","Johannes_Fechner"
"Counted as a content page","Yes","Johannes_Fechner"
"Wikidata item ID","Q15434300","Johannes_Fechner"
"Local description","German politician (born 1975)","Johannes_Fechner"
"Central description","German politician","Johannes_Fechner"
"Page image","","Johannes_Fechner"
"Page views in the past 30 days","56","Johannes_Fechner"
"Display title","Matthias Hauer","Matthias_Hauer"
"Default sort key","Hauer, Matthias","Matthias_Hauer"
"Page length (in bytes)","5,574","Matthias_Hauer"
"Namespace ID","0","Matthias_Hauer"
"Page ID","63437684","Matthias_Hauer"
"Page content language","en - English","Matthias_Hauer"
"Page content model","wikitext","Matthias_Hauer"
"Indexing by robots","Allowed","Matthias_Hauer"
"Number of page watchers","Fewer than 30 watchers","Matthias_Hauer"
"Number of redirects to this page","0","Matthias_Hauer"
"Counted as a content page","Yes","Matthias_Hauer"
"Wikidata item ID","Q15813749","Matthias_Hauer"
"Local description","German politician","Matthias_Hauer"
"Central description","German politician","Matthias_Hauer"
"Page image","","Matthias_Hauer"
"Page views in the past 30 days","48","Matthias_Hauer"
"Display title","Uli Grötsch","Uli_Grötsch"
"Default sort key","Grotsch, Uli","Uli_Grötsch"
"Page length (in bytes)","7,817","Uli_Grötsch"
"Namespace ID","0","Uli_Grötsch"
"Page ID","63419497","Uli_Grötsch"
"Page content language","en - English","Uli_Grötsch"
"Page content model","wikitext","Uli_Grötsch"
"Indexing by robots","Allowed","Uli_Grötsch"
"Number of page watchers","Fewer than 30 watchers","Uli_Grötsch"
"Number of redirects to this page","1","Uli_Grötsch"
"Counted as a content page","Yes","Uli_Grötsch"
"Wikidata item ID","Q15813108","Uli_Grötsch"
"Local description","German politician (born 1975)","Uli_Grötsch"
"Central description","German politician","Uli_Grötsch"
"Page image","","Uli_Grötsch"
"Page views in the past 30 days","31","Uli_Grötsch"
"Display title","Georg Kippels","Georg_Kippels"
"Default sort key","Kippels, Georg","Georg_Kippels"
"Page length (in bytes)","4,321","Georg_Kippels"
"Namespace ID","0","Georg_Kippels"
"Page ID","63441945","Georg_Kippels"
"Page content language","en - English","Georg_Kippels"
"Page content model","wikitext","Georg_Kippels"
"Indexing by robots","Allowed","Georg_Kippels"
"Number of page watchers","Fewer than 30 watchers","Georg_Kippels"
"Number of redirects to this page","1","Georg_Kippels"
"Counted as a content page","Yes","Georg_Kippels"
"Wikidata item ID","Q15434294","Georg_Kippels"
"Local description","German politician","Georg_Kippels"
"Central description","German politician","Georg_Kippels"
"Page image","","Georg_Kippels"
"Page views in the past 30 days","43","Georg_Kippels"
"Display title","Wilfried Oellers","Wilfried_Oellers"
"Default sort key","Oellers, Wilfried","Wilfried_Oellers"
"Page length (in bytes)","2,690","Wilfried_Oellers"
"Namespace ID","0","Wilfried_Oellers"
"Page ID","63444224","Wilfried_Oellers"
"Page content language","en - English","Wilfried_Oellers"
"Page content model","wikitext","Wilfried_Oellers"
"Indexing by robots","Allowed","Wilfried_Oellers"
"Number of page watchers","Fewer than 30 watchers","Wilfried_Oellers"
"Number of redirects to this page","0","Wilfried_Oellers"
"Counted as a content page","Yes","Wilfried_Oellers"
"Wikidata item ID","Q15813191","Wilfried_Oellers"
"Local description","German politician","Wilfried_Oellers"
"Central description","German politician and lawyer","Wilfried_Oellers"
"Page image","","Wilfried_Oellers"
"Page views in the past 30 days","34","Wilfried_Oellers"
"Display title","Katja Leikert","Katja_Leikert"
"Default sort key","Leikert, Katja","Katja_Leikert"
"Page length (in bytes)","16,630","Katja_Leikert"
"Namespace ID","0","Katja_Leikert"
"Page ID","58704877","Katja_Leikert"
"Page content language","en - English","Katja_Leikert"
"Page content model","wikitext","Katja_Leikert"
"Indexing by robots","Allowed","Katja_Leikert"
"Number of page watchers","Fewer than 30 watchers","Katja_Leikert"
"Number of redirects to this page","0","Katja_Leikert"
"Counted as a content page","Yes","Katja_Leikert"
"Wikidata item ID","Q15434284","Katja_Leikert"
"Local description","German politician (born 1975)","Katja_Leikert"
"Central description","German conservative liberal politician (CDU), member of the national parliament","Katja_Leikert"
"Page image","","Katja_Leikert"
"Page views in the past 30 days","51","Katja_Leikert"
"Display title","Rita Hagl-Kehl","Rita_Hagl-Kehl"
"Default sort key","Hagl-Kehl, Rita","Rita_Hagl-Kehl"
"Page length (in bytes)","4,247","Rita_Hagl-Kehl"
"Namespace ID","0","Rita_Hagl-Kehl"
"Page ID","63420387","Rita_Hagl-Kehl"
"Page content language","en - English","Rita_Hagl-Kehl"
"Page content model","wikitext","Rita_Hagl-Kehl"
"Indexing by robots","Allowed","Rita_Hagl-Kehl"
"Number of page watchers","Fewer than 30 watchers","Rita_Hagl-Kehl"
"Number of redirects to this page","0","Rita_Hagl-Kehl"
"Counted as a content page","Yes","Rita_Hagl-Kehl"
"Wikidata item ID","Q15813119","Rita_Hagl-Kehl"
"Local description","German politician (born 1970)","Rita_Hagl-Kehl"
"Central description","German politician, tailor and teacher","Rita_Hagl-Kehl"
"Page image","","Rita_Hagl-Kehl"
"Page views in the past 30 days","39","Rita_Hagl-Kehl"
"Display title","Yvonne Magwas","Yvonne_Magwas"
"Default sort key","Magwas, Yvonne","Yvonne_Magwas"
"Page length (in bytes)","8,944","Yvonne_Magwas"
"Namespace ID","0","Yvonne_Magwas"
"Page ID","50547707","Yvonne_Magwas"
"Page content language","en - English","Yvonne_Magwas"
"Page content model","wikitext","Yvonne_Magwas"
"Indexing by robots","Allowed","Yvonne_Magwas"
"Number of page watchers","Fewer than 30 watchers","Yvonne_Magwas"
"Number of redirects to this page","0","Yvonne_Magwas"
"Counted as a content page","Yes","Yvonne_Magwas"
"Wikidata item ID","Q15647562","Yvonne_Magwas"
"Local description","German politician","Yvonne_Magwas"
"Central description","German politician","Yvonne_Magwas"
"Page image","","Yvonne_Magwas"
"Page views in the past 30 days","978","Yvonne_Magwas"
"Display title","Stefan Heck","Stefan_Heck"
"Default sort key","Heck, Stefan","Stefan_Heck"
"Page length (in bytes)","8,931","Stefan_Heck"
"Namespace ID","0","Stefan_Heck"
"Page ID","71002319","Stefan_Heck"
"Page content language","en - English","Stefan_Heck"
"Page content model","wikitext","Stefan_Heck"
"Indexing by robots","Allowed","Stefan_Heck"
"Number of page watchers","Fewer than 30 watchers","Stefan_Heck"
"Number of redirects to this page","0","Stefan_Heck"
"Counted as a content page","Yes","Stefan_Heck"
"Wikidata item ID","Q15848995","Stefan_Heck"
"Local description","German politician (born 1982)","Stefan_Heck"
"Central description","German politician","Stefan_Heck"
"Page image","","Stefan_Heck"
"Page views in the past 30 days","67","Stefan_Heck"
"Display title","Julia Verlinden","Julia_Verlinden"
"Default sort key","Verlinden, Julia","Julia_Verlinden"
"Page length (in bytes)","4,948","Julia_Verlinden"
"Namespace ID","0","Julia_Verlinden"
"Page ID","63396726","Julia_Verlinden"
"Page content language","en - English","Julia_Verlinden"
"Page content model","wikitext","Julia_Verlinden"
"Indexing by robots","Allowed","Julia_Verlinden"
"Number of page watchers","Fewer than 30 watchers","Julia_Verlinden"
"Number of redirects to this page","0","Julia_Verlinden"
"Counted as a content page","Yes","Julia_Verlinden"
"Wikidata item ID","Q15805255","Julia_Verlinden"
"Local description","German politician (born 1979)","Julia_Verlinden"
"Central description","German politician","Julia_Verlinden"
"Page image","","Julia_Verlinden"
"Page views in the past 30 days","50","Julia_Verlinden"
"Display title","Dirk Heidenblut","Dirk_Heidenblut"
"Default sort key","Heidenblut, Dirk","Dirk_Heidenblut"
"Page length (in bytes)","3,354","Dirk_Heidenblut"
"Namespace ID","0","Dirk_Heidenblut"
"Page ID","63420488","Dirk_Heidenblut"
"Page content language","en - English","Dirk_Heidenblut"
"Page content model","wikitext","Dirk_Heidenblut"
"Indexing by robots","Allowed","Dirk_Heidenblut"
"Number of page watchers","Fewer than 30 watchers","Dirk_Heidenblut"
"Number of redirects to this page","0","Dirk_Heidenblut"
"Counted as a content page","Yes","Dirk_Heidenblut"
"Wikidata item ID","Q15806072","Dirk_Heidenblut"
"Local description","German politician","Dirk_Heidenblut"
"Central description","German politician","Dirk_Heidenblut"
"Page image","","Dirk_Heidenblut"
"Page views in the past 30 days","44","Dirk_Heidenblut"
"Display title","Martin Rosemann","Martin_Rosemann"
"Default sort key","Rosemann, Martin","Martin_Rosemann"
"Page length (in bytes)","4,632","Martin_Rosemann"
"Namespace ID","0","Martin_Rosemann"
"Page ID","63433772","Martin_Rosemann"
"Page content language","en - English","Martin_Rosemann"
"Page content model","wikitext","Martin_Rosemann"
"Indexing by robots","Allowed","Martin_Rosemann"
"Number of page watchers","Fewer than 30 watchers","Martin_Rosemann"
"Number of redirects to this page","1","Martin_Rosemann"
"Counted as a content page","Yes","Martin_Rosemann"
"Wikidata item ID","Q15434186","Martin_Rosemann"
"Local description","German politician","Martin_Rosemann"
"Central description","German politician","Martin_Rosemann"
"Page image","","Martin_Rosemann"
"Page views in the past 30 days","51","Martin_Rosemann"
"Display title","Gabriela Heinrich","Gabriela_Heinrich"
"Default sort key","Heinrich, Gabriela","Gabriela_Heinrich"
"Page length (in bytes)","5,085","Gabriela_Heinrich"
"Namespace ID","0","Gabriela_Heinrich"
"Page ID","63420634","Gabriela_Heinrich"
"Page content language","en - English","Gabriela_Heinrich"
"Page content model","wikitext","Gabriela_Heinrich"
"Indexing by robots","Allowed","Gabriela_Heinrich"
"Number of page watchers","Fewer than 30 watchers","Gabriela_Heinrich"
"Number of redirects to this page","0","Gabriela_Heinrich"
"Counted as a content page","Yes","Gabriela_Heinrich"
"Wikidata item ID","Q15811213","Gabriela_Heinrich"
"Local description","German politician","Gabriela_Heinrich"
"Central description","German politician, member of the Bundestag","Gabriela_Heinrich"
"Page image","","Gabriela_Heinrich"
"Page views in the past 30 days","57","Gabriela_Heinrich"
"Display title","Astrid Timmermann-Fechter","Astrid_Timmermann-Fechter"
"Default sort key","Timmermann-Fechter, Astrid","Astrid_Timmermann-Fechter"
"Page length (in bytes)","5,093","Astrid_Timmermann-Fechter"
"Namespace ID","0","Astrid_Timmermann-Fechter"
"Page ID","70708903","Astrid_Timmermann-Fechter"
"Page content language","en - English","Astrid_Timmermann-Fechter"
"Page content model","wikitext","Astrid_Timmermann-Fechter"
"Indexing by robots","Allowed","Astrid_Timmermann-Fechter"
"Number of page watchers","Fewer than 30 watchers","Astrid_Timmermann-Fechter"
"Number of redirects to this page","0","Astrid_Timmermann-Fechter"
"Counted as a content page","Yes","Astrid_Timmermann-Fechter"
"Wikidata item ID","Q15784254","Astrid_Timmermann-Fechter"
"Local description","German politician","Astrid_Timmermann-Fechter"
"Central description","German politician","Astrid_Timmermann-Fechter"
"Page views in the past 30 days","27","Astrid_Timmermann-Fechter"
"Display title","Andreas Rimkus","Andreas_Rimkus"
"Default sort key","Rimkus, Andreas","Andreas_Rimkus"
"Page length (in bytes)","4,387","Andreas_Rimkus"
"Namespace ID","0","Andreas_Rimkus"
"Page ID","63433475","Andreas_Rimkus"
"Page content language","en - English","Andreas_Rimkus"
"Page content model","wikitext","Andreas_Rimkus"
"Indexing by robots","Allowed","Andreas_Rimkus"
"Number of page watchers","Fewer than 30 watchers","Andreas_Rimkus"
"Number of redirects to this page","0","Andreas_Rimkus"
"Counted as a content page","Yes","Andreas_Rimkus"
"Wikidata item ID","Q15783337","Andreas_Rimkus"
"Local description","German politician","Andreas_Rimkus"
"Central description","German politician","Andreas_Rimkus"
"Page image","","Andreas_Rimkus"
"Page views in the past 30 days","164","Andreas_Rimkus"
"Display title","Dirk Vöpel","Dirk_Vöpel"
"Default sort key","Vopel, Dirk","Dirk_Vöpel"
"Page length (in bytes)","2,935","Dirk_Vöpel"
"Namespace ID","0","Dirk_Vöpel"
"Page ID","63436087","Dirk_Vöpel"
"Page content language","en - English","Dirk_Vöpel"
"Page content model","wikitext","Dirk_Vöpel"
"Indexing by robots","Allowed","Dirk_Vöpel"
"Number of page watchers","Fewer than 30 watchers","Dirk_Vöpel"
"Number of redirects to this page","0","Dirk_Vöpel"
"Counted as a content page","Yes","Dirk_Vöpel"
"Wikidata item ID","Q15806084","Dirk_Vöpel"
"Local description","German politician","Dirk_Vöpel"
"Central description","German politician","Dirk_Vöpel"
"Page views in the past 30 days","20","Dirk_Vöpel"
"Display title","Carsten Träger","Carsten_Träger"
"Default sort key","Trager, Carsten","Carsten_Träger"
"Page length (in bytes)","5,894","Carsten_Träger"
"Namespace ID","0","Carsten_Träger"
"Page ID","63435949","Carsten_Träger"
"Page content language","en - English","Carsten_Träger"
"Page content model","wikitext","Carsten_Träger"
"Indexing by robots","Allowed","Carsten_Träger"
"Number of page watchers","Fewer than 30 watchers","Carsten_Träger"
"Number of redirects to this page","0","Carsten_Träger"
"Counted as a content page","Yes","Carsten_Träger"
"Wikidata item ID","Q15793668","Carsten_Träger"
"Local description","German politician","Carsten_Träger"
"Central description","German politician","Carsten_Träger"
"Page image","","Carsten_Träger"
"Page views in the past 30 days","37","Carsten_Träger"
"Display title","Irene Mihalic","Irene_Mihalic"
"Default sort key","Mihalic, Irene","Irene_Mihalic"
"Page length (in bytes)","13,758","Irene_Mihalic"
"Namespace ID","0","Irene_Mihalic"
"Page ID","62673684","Irene_Mihalic"
"Page content language","en - English","Irene_Mihalic"
"Page content model","wikitext","Irene_Mihalic"
"Indexing by robots","Allowed","Irene_Mihalic"
"Number of page watchers","Fewer than 30 watchers","Irene_Mihalic"
"Number of redirects to this page","0","Irene_Mihalic"
"Counted as a content page","Yes","Irene_Mihalic"
"Wikidata item ID","Q15433827","Irene_Mihalic"
"Local description","German politician","Irene_Mihalic"
"Central description","German politician","Irene_Mihalic"
"Page image","","Irene_Mihalic"
"Page views in the past 30 days","94","Irene_Mihalic"
"Display title","Dagmar Schmidt","Dagmar_Schmidt"
"Default sort key","Schmidt, Dagmar","Dagmar_Schmidt"
"Page length (in bytes)","12,352","Dagmar_Schmidt"
"Namespace ID","0","Dagmar_Schmidt"
"Page ID","62991264","Dagmar_Schmidt"
"Page content language","en - English","Dagmar_Schmidt"
"Page content model","wikitext","Dagmar_Schmidt"
"Indexing by robots","Allowed","Dagmar_Schmidt"
"Number of page watchers","Fewer than 30 watchers","Dagmar_Schmidt"
"Number of redirects to this page","0","Dagmar_Schmidt"
"Counted as a content page","Yes","Dagmar_Schmidt"
"Wikidata item ID","Q15433815","Dagmar_Schmidt"
"Local description","German historian and politician","Dagmar_Schmidt"
"Central description","German historian and politician","Dagmar_Schmidt"
"Page image","","Dagmar_Schmidt"
"Page views in the past 30 days","72","Dagmar_Schmidt"
"Display title","Jens Zimmermann","Jens_Zimmermann"
"Default sort key","Jens Zimmermann","Jens_Zimmermann"
"Page length (in bytes)","376","Jens_Zimmermann"
"Namespace ID","0","Jens_Zimmermann"
"Page ID","63437220","Jens_Zimmermann"
"Page content language","en - English","Jens_Zimmermann"
"Page content model","wikitext","Jens_Zimmermann"
"Indexing by robots","Allowed","Jens_Zimmermann"
"Number of page watchers","Fewer than 30 watchers","Jens_Zimmermann"
"Number of redirects to this page","1","Jens_Zimmermann"
"Counted as a content page","Yes","Jens_Zimmermann"
"Wikidata item ID","Q15820967","Jens_Zimmermann"
"Local description","Topics referred to by the same term","Jens_Zimmermann"
"Central description","Wikimedia disambiguation page","Jens_Zimmermann"
"Page views in the past 30 days","7","Jens_Zimmermann"
"Display title","Thomas Hitschler","Thomas_Hitschler"
"Default sort key","Hitschler, Thomas","Thomas_Hitschler"
"Page length (in bytes)","6,437","Thomas_Hitschler"
"Namespace ID","0","Thomas_Hitschler"
"Page ID","63420844","Thomas_Hitschler"
"Page content language","en - English","Thomas_Hitschler"
"Page content model","wikitext","Thomas_Hitschler"
"Indexing by robots","Allowed","Thomas_Hitschler"
"Number of page watchers","Fewer than 30 watchers","Thomas_Hitschler"
"Number of redirects to this page","0","Thomas_Hitschler"
"Counted as a content page","Yes","Thomas_Hitschler"
"Wikidata item ID","Q15433139","Thomas_Hitschler"
"Local description","German politician","Thomas_Hitschler"
"Central description","German politician","Thomas_Hitschler"
"Page image","","Thomas_Hitschler"
"Page views in the past 30 days","169","Thomas_Hitschler"
"Display title","Michael Kellner","Michael_Kellner"
"Default sort key","Kellner, Michael","Michael_Kellner"
"Page length (in bytes)","8,802","Michael_Kellner"
"Namespace ID","0","Michael_Kellner"
"Page ID","69457088","Michael_Kellner"
"Page content language","en - English","Michael_Kellner"
"Page content model","wikitext","Michael_Kellner"
"Indexing by robots","Allowed","Michael_Kellner"
"Number of page watchers","Fewer than 30 watchers","Michael_Kellner"
"Number of redirects to this page","1","Michael_Kellner"
"Counted as a content page","Yes","Michael_Kellner"
"Wikidata item ID","Q15432507","Michael_Kellner"
"Local description","German politician (born 1977)","Michael_Kellner"
"Central description","German politician","Michael_Kellner"
"Page image","","Michael_Kellner"
"Page views in the past 30 days","216","Michael_Kellner"
"Display title","Corinna Rüffer","Corinna_Rüffer"
"Default sort key","Ruffer, Corinna","Corinna_Rüffer"
"Page length (in bytes)","3,810","Corinna_Rüffer"
"Namespace ID","0","Corinna_Rüffer"
"Page ID","63393111","Corinna_Rüffer"
"Page content language","en - English","Corinna_Rüffer"
"Page content model","wikitext","Corinna_Rüffer"
"Indexing by robots","Allowed","Corinna_Rüffer"
"Number of page watchers","Fewer than 30 watchers","Corinna_Rüffer"
"Number of redirects to this page","0","Corinna_Rüffer"
"Counted as a content page","Yes","Corinna_Rüffer"
"Wikidata item ID","Q15092209","Corinna_Rüffer"
"Local description","German politician (born 1975)","Corinna_Rüffer"
"Central description","German politician","Corinna_Rüffer"
"Page image","","Corinna_Rüffer"
"Page views in the past 30 days","29","Corinna_Rüffer"
"Display title","Udo Schiefner","Udo_Schiefner"
"Default sort key","Schiefner, Udo","Udo_Schiefner"
"Page length (in bytes)","4,047","Udo_Schiefner"
"Namespace ID","0","Udo_Schiefner"
"Page ID","63434457","Udo_Schiefner"
"Page content language","en - English","Udo_Schiefner"
"Page content model","wikitext","Udo_Schiefner"
"Indexing by robots","Allowed","Udo_Schiefner"
"Number of page watchers","Fewer than 30 watchers","Udo_Schiefner"
"Number of redirects to this page","0","Udo_Schiefner"
"Counted as a content page","Yes","Udo_Schiefner"
"Wikidata item ID","Q15813111","Udo_Schiefner"
"Local description","German politician","Udo_Schiefner"
"Central description","German politician","Udo_Schiefner"
"Page image","","Udo_Schiefner"
"Page views in the past 30 days","61","Udo_Schiefner"
"Display title","Claudia Tausend","Claudia_Tausend"
"Default sort key","Tausend, Claudia","Claudia_Tausend"
"Page length (in bytes)","3,835","Claudia_Tausend"
"Namespace ID","0","Claudia_Tausend"
"Page ID","63435752","Claudia_Tausend"
"Page content language","en - English","Claudia_Tausend"
"Page content model","wikitext","Claudia_Tausend"
"Indexing by robots","Allowed","Claudia_Tausend"
"Number of page watchers","Fewer than 30 watchers","Claudia_Tausend"
"Number of redirects to this page","0","Claudia_Tausend"
"Counted as a content page","Yes","Claudia_Tausend"
"Wikidata item ID","Q15432230","Claudia_Tausend"
"Local description","German politician","Claudia_Tausend"
"Central description","German politician","Claudia_Tausend"
"Page image","","Claudia_Tausend"
"Page views in the past 30 days","32","Claudia_Tausend"
"Display title","Martina Stamm-Fibich","Martina_Stamm-Fibich"
"Default sort key","Stamm-Fibich, Martina","Martina_Stamm-Fibich"
"Page length (in bytes)","3,705","Martina_Stamm-Fibich"
"Namespace ID","0","Martina_Stamm-Fibich"
"Page ID","63435555","Martina_Stamm-Fibich"
"Page content language","en - English","Martina_Stamm-Fibich"
"Page content model","wikitext","Martina_Stamm-Fibich"
"Indexing by robots","Allowed","Martina_Stamm-Fibich"
"Number of page watchers","Fewer than 30 watchers","Martina_Stamm-Fibich"
