"Metric","Value","Page"
"Display title","Mathias Stein","Mathias_Stein"
"Default sort key","Stein, Mathias","Mathias_Stein"
"Page length (in bytes)","3,177","Mathias_Stein"
"Namespace ID","0","Mathias_Stein"
"Page ID","63435657","Mathias_Stein"
"Page content language","en - English","Mathias_Stein"
"Page content model","wikitext","Mathias_Stein"
"Indexing by robots","Allowed","Mathias_Stein"
"Number of page watchers","Fewer than 30 watchers","Mathias_Stein"
"Number of redirects to this page","0","Mathias_Stein"
"Counted as a content page","Yes","Mathias_Stein"
"Wikidata item ID","Q40999283","Mathias_Stein"
"Local description","German politician","Mathias_Stein"
"Central description","German politician","Mathias_Stein"
"Page image","","Mathias_Stein"
"Page views in the past 30 days","28","Mathias_Stein"
"Display title","Jochen Haug","Jochen_Haug"
"Default sort key","Haug, Jochen","Jochen_Haug"
"Page length (in bytes)","1,919","Jochen_Haug"
"Namespace ID","0","Jochen_Haug"
"Page ID","61768915","Jochen_Haug"
"Page content language","en - English","Jochen_Haug"
"Page content model","wikitext","Jochen_Haug"
"Indexing by robots","Allowed","Jochen_Haug"
"Number of page watchers","Fewer than 30 watchers","Jochen_Haug"
"Number of redirects to this page","0","Jochen_Haug"
"Counted as a content page","Yes","Jochen_Haug"
"Wikidata item ID","Q40475799","Jochen_Haug"
"Local description","German politician","Jochen_Haug"
"Central description","German politician","Jochen_Haug"
"Page views in the past 30 days","34","Jochen_Haug"
"Display title","Philipp Amthor","Philipp_Amthor"
"Default sort key","Amthor, Philipp","Philipp_Amthor"
"Page length (in bytes)","16,304","Philipp_Amthor"
"Namespace ID","0","Philipp_Amthor"
"Page ID","61472014","Philipp_Amthor"
"Page content language","en - English","Philipp_Amthor"
"Page content model","wikitext","Philipp_Amthor"
"Indexing by robots","Allowed","Philipp_Amthor"
"Number of page watchers","Fewer than 30 watchers","Philipp_Amthor"
"Number of redirects to this page","0","Philipp_Amthor"
"Counted as a content page","Yes","Philipp_Amthor"
"Wikidata item ID","Q40998607","Philipp_Amthor"
"Local description","German politician","Philipp_Amthor"
"Central description","German politician","Philipp_Amthor"
"Page image","","Philipp_Amthor"
"Page views in the past 30 days","2,007","Philipp_Amthor"
"Display title","Nicole Bauer","Nicole_Bauer"
"Default sort key","Bauer, Nicole","Nicole_Bauer"
"Page length (in bytes)","4,312","Nicole_Bauer"
"Namespace ID","0","Nicole_Bauer"
"Page ID","63379197","Nicole_Bauer"
"Page content language","en - English","Nicole_Bauer"
"Page content model","wikitext","Nicole_Bauer"
"Indexing by robots","Allowed","Nicole_Bauer"
"Number of page watchers","Fewer than 30 watchers","Nicole_Bauer"
"Number of redirects to this page","0","Nicole_Bauer"
"Counted as a content page","Yes","Nicole_Bauer"
"Wikidata item ID","Q40998121","Nicole_Bauer"
"Local description","German politician (FDP)","Nicole_Bauer"
"Central description","German politician (FDP)","Nicole_Bauer"
"Page image","","Nicole_Bauer"
"Page views in the past 30 days","86","Nicole_Bauer"
